No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
277,210105,북천,21,낙동강권역,2101,0,64,74.6,33.7,43.1
239,320102,석문방조제,32,금강권역,3201,0,65.2,76.6,30,43
244,500303,화순천,50,섬진강-영산강권역,5003,0,68.6,74.5,28.6,42.9
285,101208,소양강댐하류,10,한강권역,1012,0,63.9,70.7,36.9,42.9
231,201104,성주수위표,20,낙동강권역,2011,0,63.9,85.3,22.1,42.8
254,201107,백천하류,20,낙동강권역,2011,0,62.1,86.4,22.8,42.8
273,101802,퇴계원수위표,10,한강권역,1018,0,78.9,74.7,17,42.7
334,201215,신천상류,20,낙동강권역,2012,0,53.7,86.1,30.9,42.7
275,100718,양평수위표,10,한강권역,1007,0,62.2,73.3,34.9,42.6
208,500103,영산강상류,50,섬진강-영산강권역,5001,0,61.4,79.1,29.5,42.5
398,400101,섬진강상류,40,섬진강-영산강권역,4001,0,45.4,54.8,69.7,42.5
429,100114,지장천하류,10,한강권역,1001,0,70,1.3,98.4,42.4
235,320205,금리천,32,금강권역,3202,0,65.2,72.6,30.4,42.1
126,130105,청초천,13,한강권역,1301,0,87.7,67.7,12.6,42
186,201108,강정고령보,20,낙동강권역,2011,0,66.1,81.2,20.7,42
253,202203,양산천상류,20,낙동강권역,2022,0,66.5,75.2,26.3,42
189,101903,계양천합류후,10,한강권역,1019,0,68.5,71.2,27,41.7
172,300904,대전천,30,금강권역,3009,0,87.7,75.2,3.5,41.6
183,500307,지석천,50,섬진강-영산강권역,5003,0,64.4,76.5,25.3,41.6
264,300803,소옥천하류,30,금강권역,3008,0,78.3,74.7,13.3,41.6
283,100108,오대천상류,10,한강권역,1001,0,70.1,77,18.8,41.5
260,301114,조천,30,금강권역,3011,0,87.7,74.6,3.1,41.4
177,201217,팔거천,20,낙동강권역,2012,0,71,84.9,9.1,41.3
211,240301,동해면,24,낙동강권역,2403,0,63.9,79.1,21.9,41.2
221,101806,탄천하류,10,한강권역,1018,0,87.7,76.7,0,41.1
181,120205,자안천,12,한강권역,1202,0,59.8,74.2,29.3,40.8
191,120101,포내천,12,한강권역,1201,0,65.2,78,19.5,40.7
227,201213,동화천,20,낙동강권역,2012,0,66.9,76,20,40.7
134,201401,진천천,20,낙동강권역,2014,0,82.4,76.2,3.3,40.5
196,110106,성환천,11,한강권역,1101,0,68.6,78.3,15.1,40.5
225,110114,동연교수위표,11,한강권역,1101,0,58,81.1,22.3,40.4
292,100701,청미천상류,10,한강권역,1007,0,67.7,75.7,18.1,40.4
267,101408,홍천수위표,10,한강권역,1014,0,73.6,73,14.7,40.3
280,110118,아산방조제,11,한강권역,1101,0,45.5,73,41.8,40.1
305,110115,진위천,11,한강권역,1101,0,45.5,71.3,43.7,40.1
202,301110,무심천,30,금강권역,3011,0,63.9,79.3,16.8,40
238,310101,삽교천상류,31,금강권역,3101,0,65.2,77.4,17.5,40
198,100314,장평천,10,한강권역,1003,0,65.2,69.7,24.2,39.8
224,201004,직지사천,20,낙동강권역,2010,0,68.1,76.9,14.2,39.8
240,300905,유등천하류,30,금강권역,3009,0,87.7,66.6,4.9,39.8
246,101804,탄천상류,10,한강권역,1018,0,87.7,70.4,1,39.8
313,300101,장계천합류후,30,금강권역,3001,0,87.7,39.8,31.8,39.8
192,120105,삼흥천,12,한강권역,1201,0,45.4,81.8,31.4,39.7
209,201403,달성보,20,낙동강권역,2014,0,63.9,78.9,15.6,39.6
343,110116,아산방조제상류,11,한강권역,1101,0,41.4,74.6,42.3,39.6
216,510104,탐진강하류,51,섬진강-영산강권역,5101,0,56.4,76.6,24.9,39.5
241,320206,안면도,32,금강권역,3202,0,78.3,62.6,16.5,39.4
279,200602,북천,20,낙동강권역,2006,0,77.2,69.9,10.3,39.4
210,101811,한강대교수위표,10,한강권역,1018,0,82.4,73.3,0.3,39
180,220105,동천,22,낙동강권역,2201,0,73.1,76.4,6.1,38.9
197,101809,청계천,10,한강권역,1018,0,87.7,67,0.7,38.9
205,310112,곡교천중류,31,금강권역,3101,0,70.3,77.5,7.2,38.8
145,500107,광주천,50,섬진강-영산강권역,5001,0,70.2,77.8,5.6,38.4
214,101302,의암댐,10,한강권역,1013,0,48.5,77.3,27.9,38.4
257,300902,유성수위표,30,금강권역,3009,0,78.9,70.5,4.2,38.4
200,310111,천안천,31,금강권역,3101,0,67.8,80.9,4.5,38.3
141,101815,안양천중류,10,한강권역,1018,0,76.5,75.2,1.2,38.2
162,240302,냉천,24,낙동강권역,2403,0,67.7,71.5,13.7,38.2
178,300906,갑천하류,30,금강권역,3009,0,68.9,73.5,10,38.1
133,201214,금호강중류,20,낙동강권역,2012,0,68.9,77.1,5.9,38
215,230102,회야댐,23,낙동강권역,2301,0,70.1,71.5,10.5,38
194,101907,굴포천,10,한강권역,1019,0,70.2,71.6,9.6,37.9
193,330108,삼천,33,금강권역,3301,0,62.2,77.2,11.7,37.8
188,201901,영천강합류전,20,낙동강권역,2019,0,82.4,62.7,5.2,37.6
232,100704,응천,10,한강권역,1007,0,62.2,80.3,7.9,37.6
274,200304,안동댐역조정지하류,20,낙동강권역,2003,0,70,71.6,8.2,37.5
302,301202,용수천,30,금강권역,3012,0,70,59,20.9,37.5
156,120102,공촌천,12,한강권역,1201,0,70.2,75.5,3.8,37.4
139,201210,남천,20,낙동강권역,2012,0,68.6,76.8,2.1,36.9
149,201219,금호강하류,20,낙동강권역,2012,0,70.3,74.3,2.8,36.9
129,250408,양곡천,25,낙동강권역,2504,0,70,65.5,9.8,36.3
187,101816,안양천하류,10,한강권역,1018,0,70.2,72.9,1.4,36.1
272,200101,황지천,20,낙동강권역,2001,0,87.7,47.4,6.3,35.4
201,110107,평택수위표,11,한강권역,1101,0,48.5,65.8,2.6,29.2
